,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
164,165,Quantum of Solace,589580482.0,168368427.0,28.6,421212055.0,71.4,2008
165,166,Men in Black,589390539.0,250690539.0,42.5,338700000.0,57.5,1997
166,167,The Croods,587204668.0,187168425.0,31.9,400036243.0,68.1,2013
167,168,The Hangover Part II,586764305.0,254464305.0,43.4,332300000.0,56.6,2011
168,169,I Am Legend,585410052.0,256393010.0,43.8,329017042.0,56.2,2007
169,170,Iron Man,585366247.0,318604126.0,54.4,266762121.0,45.6,2008
170,171,Ready Player One,582890172.0,137690172.0,23.6,445200000.0,76.4,2018
171,172,Operation Red Sea,579330426.0,1543547.0,0.3,577786879.0,99.7,2018
172,173,Night at the Museum,574480841.0,250863268.0,43.7,323617573.0,56.3,2006
173,174,Fifty Shades of Grey,569651467.0,166167230.0,29.2,403484237.0,70.8,2015
174,175,Kong: Skull Island,566652812.0,168052812.0,29.7,398600000.0,70.3,2017
175,176,The Smurfs,563749323.0,142614158.0,25.3,421135165.0,74.7,2011
176,177,King Kong,562363449.0,218080025.0,38.8,344283424.0,61.2,2005
177,178,Cars 2,559852396.0,191452396.0,34.2,368400000.0,65.8,2011
178,179,Puss in Boots,554987477.0,149260504.0,26.9,405726973.0,73.1,2011
179,180,The Mermaid,553810228.0,3232685.0,0.6,550577543.0,99.4,2016
180,181,Armageddon,553709788.0,201578182.0,36.4,352131606.0,63.6,1998
181,182,The Day After Tomorrow,552639571.0,186740799.0,33.8,365898772.0,66.2,2004
182,183,Ted,549368315.0,218815487.0,39.8,330552828.0,60.2,2012
183,184,Star Wars: Episode V - The Empire Strikes Back,547897454.0,290271960.0,53.0,257625494.0,47.0,1980
184,185,American Sniper,547426372.0,350126372.0,64.0,197300000.0,36.0,2014
185,186,Mission: Impossible II,546388108.0,215409889.0,39.4,330978219.0,60.6,2000
186,187,Detective Chinatown 2,544185156.0,1983984.0,0.4,542201172.0,99.6,2018
187,188,X-Men: Apocalypse,543934105.0,155442489.0,28.6,388491616.0,71.4,2016
188,189,Sherlock Holmes: A Game of Shadows,543848418.0,186848418.0,34.4,357000000.0,65.6,2011
189,190,Despicable Me,543113985.0,251513985.0,46.3,291600000.0,53.7,2010
190,191,Cinderella,542351353.0,201151353.0,37.1,341200000.0,62.9,2015
191,192,Madagascar,542063846.0,193595521.0,35.7,348468325.0,64.3,2005
192,193,World War Z,540007876.0,202359711.0,37.5,337648165.0,62.5,2013
193,194,Brave,538983207.0,237283207.0,44.0,301700000.0,56.0,2012
194,195,The Simpsons Movie,536414270.0,183135014.0,34.1,353279256.0,65.9,2007
195,196,The Revenant,532950503.0,183637894.0,34.5,349312609.0,65.5,2015
196,197,The Meg,530243742.0,145443742.0,27.4,384800000.0,72.6,2018
197,198,Ralph Breaks the Internet,529323962.0,201091711.0,38.0,328232251.0,62.0,2018
198,199,Hotel Transylvania 3: Summer Vacation,528583774.0,167510016.0,31.7,361073758.0,68.3,2018
199,200,The Boss Baby,527965936.0,175003033.0,33.2,352962903.0,66.8,2017
200,201,Dunkirk,526940665.0,189740665.0,36.0,337200000.0,64.0,2017
201,202,Godzilla (2014),524976069.0,200676069.0,38.2,324300000.0,61.8,2014
202,203,Sherlock Holmes,524028679.0,209028679.0,39.9,315000000.0,60.1,2009
203,204,Meet the Fockers,522657936.0,279261160.0,53.4,243396776.0,46.6,2004
204,205,How to Train Your Dragon: The Hidden World,521799505.0,160799505.0,30.8,361000000.0,69.2,2019
205,206,WALL·E,521311860.0,223808164.0,42.9,297503696.0,57.1,2008
206,207,Kung Fu Panda 3,521170825.0,143528619.0,27.5,377642206.0,72.5,2016
207,208,Terminator 2: Judgment Day,520884847.0,205881154.0,39.5,315003693.0,60.5,1991
208,209,Ant-Man,519311965.0,180202163.0,34.7,339109802.0,65.3,2015
209,210,Dr. Seuss' The Grinch,511595957.0,270620950.0,52.9,240975007.0,47.1,2018
210,211,Ghost,505809505.0,217631306.0,43.0,288178199.0,57.0,1990
211,212,Aladdin,504050219.0,217350219.0,43.1,286700000.0,56.9,1992
212,213,Rio 2,498781117.0,131538435.0,26.4,367242682.0,73.6,2014
213,214,Troy,497409852.0,133378256.0,26.8,364031596.0,73.2,2004
214,215,Toy Story 2,497374776.0,245852179.0,49.4,251522597.0,50.6,1999
215,216,How to Train Your Dragon,494878759.0,217581231.0,44.0,277297528.0,56.0,2010
216,217,Twister,494471524.0,241721524.0,48.9,252750000.0,51.1,1996
217,218,Oz the Great and Powerful,493311825.0,234911825.0,47.6,258400000.0,52.4,2013
218,219,Clash of the Titans,493214993.0,163214888.0,33.1,330000105.0,66.9,2010
219,220,Maleficent: Mistress of Evil,491730089.0,113929605.0,23.2,377800484.0,76.8,2019
220,221,War for the Planet of the Apes,490719763.0,146880162.0,29.9,343839601.0,70.1,2017
221,222,Mr. & Mrs. Smith,487287646.0,186336279.0,38.2,300951367.0,61.8,2005
222,223,Angels & Demons,485930816.0,133375846.0,27.4,352554970.0,72.6,2009
223,224,Teenage Mutant Ninja Turtles (2014),485004754.0,191204754.0,39.4,293800000.0,60.6,2014
224,225,Bruce Almighty,484592874.0,242829261.0,50.1,241763613.0,49.9,2003
225,226,Shrek,484409218.0,267665011.0,55.3,216744207.0,44.7,2001
226,227,Rio,483866518.0,143619809.0,29.7,340246709.0,70.3,2011
227,228,Saving Private Ryan,482349603.0,217049603.0,45.0,265300000.0,55.0,1998
228,229,Rise of the Planet of the Apes,481800873.0,176760185.0,36.7,305040688.0,63.3,2011
229,230,Home Alone,477063114.0,285761243.0,59.9,191301871.0,40.1,1990
230,231,Star Wars: Episode VI - Return of the Jedi,475347111.0,309306177.0,65.1,166040934.0,34.900000000000006,1983
231,232,Charlie and the Chocolate Factory,474968763.0,206459076.0,43.5,268509687.0,56.5,2005
232,233,Hotel Transylvania 2,474800000.0,169700110.0,35.7,305099890.0,64.3,2015
233,234,Indiana Jones and the Last Crusade,474310887.0,197171806.0,41.6,277139081.0,58.4,1989
234,235,San Andreas,473990832.0,155190832.0,32.7,318800000.0,67.3,2015
235,236,It Chapter Two,473093228.0,211593228.0,44.7,261500000.0,55.3,2019
236,237,Wreck-It Ralph,471222889.0,189422889.0,40.2,281800000.0,59.8,2012
237,238,Jaws,471203004.0,260000000.0,55.2,211203004.0,44.8,1975
238,239,The Hangover,469310836.0,277322503.0,59.1,191988333.0,40.9,2009
239,240,The Lego Movie,468060692.0,257760692.0,55.1,210300000.0,44.9,2014
240,241,Bumblebee,467989645.0,127195589.0,27.2,340794056.0,72.8,2018
241,242,Star Trek Into Darkness,467365246.0,228778661.0,49.0,238586585.0,51.0,2013
242,243,The Matrix,465343787.0,171479930.0,36.8,293863857.0,63.2,1999
243,244,Pretty Woman,463406268.0,178406268.0,38.5,285000000.0,61.5,1990
244,245,Cars,461983149.0,244082982.0,52.8,217900167.0,47.2,2006
245,246,Gladiator,460583960.0,187705427.0,40.8,272878533.0,59.2,2000
246,247,X-Men: The Last Stand,460435291.0,234362462.0,50.9,226072829.0,49.1,2006
247,248,National Treasure: Book of Secrets,459242249.0,219964115.0,47.9,239278134.0,52.1,2007
248,249,Lucy,458863600.0,126663600.0,27.6,332200000.0,72.4,2014
249,250,Mission: Impossible,457731198.0,180981856.0,39.5,276749342.0,60.5,1996
250,251,300,456068181.0,210614939.0,46.2,245453242.0,53.8,2007
251,252,The Last Samurai,454627263.0,111127263.0,24.4,343500000.0,75.6,2003
252,253,Dying to Survive,451183391.0,6752.0,0.0,451176639.0,100.0,2018
253,254,Ocean's Eleven,450717150.0,183417150.0,40.7,267300000.0,59.3,2001
254,255,"My People, My Country",450064993.0,2356683.0,0.5,447708310.0,99.5,2019
255,256,Thor,449326618.0,181030624.0,40.3,268295994.0,59.7,2011
256,257,Pearl Harbor,449220945.0,198542554.0,44.2,250678391.0,55.8,2001
257,258,Tarzan,448191819.0,171091819.0,38.2,277100000.0,61.8,1999
258,259,La La Land,446171671.0,151101803.0,33.9,295069868.0,66.1,2016
259,260,Men in Black II,445135288.0,193735288.0,43.5,251400000.0,56.5,2002
