,Unnamed: 0_x,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year_x,Unnamed: 0_y,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year_y,IMDb Score,Movie Facebook Likes
619,851,859,Hollow Man,190213455.0,73209340.0,38.5,117004115.0,61.5,2000,376,Color,119.0,719.0,833.0,Action|Horror|Sci-Fi|Thriller,101834,2356,English,USA,R,2000,5.7,0
620,852,860,Outbreak,189859560.0,67659560.0,35.6,122200000.0,64.4,1995,957,Color,127.0,249.0,18000.0,Action|Drama|Thriller,91176,30383,English,USA,R,1995,6.6,0
621,853,861,The Santa Clause,189833357.0,144833357.0,76.3,45000000.0,23.700000000000006,1994,2083,Color,97.0,11.0,901.0,Comedy|Drama|Family|Fantasy,64742,2790,English,USA,PG,1994,6.4,0
622,857,865,The X Files,189176423.0,83898313.0,44.4,105278110.0,55.6,1998,646,Color,121.0,38.0,940.0,Drama|Mystery|Sci-Fi|Thriller,85720,4230,English,USA,PG-13,1998,7.0,0
623,859,867,Rambo III,189015611.0,53715611.0,28.4,135300000.0,71.6,1988,819,Color,87.0,10.0,13000.0,Action|Adventure|Thriller|War,92106,14574,English,USA,R,1988,5.7,2000
624,860,868,The Secret Life of Walter Mitty,188133322.0,58236838.0,31.0,129896484.0,69.0,2013,359,Color,114.0,0.0,3000.0,Adventure|Comedy|Drama|Fantasy|Romance,236421,5095,English,USA,PG,2013,7.3,70000
625,861,870,Jaws 2,187884007.0,81766007.0,43.5,106118000.0,56.5,1978,2161,Color,131.0,82.0,813.0,Adventure|Horror|Thriller,51314,1520,English,USA,PG,1978,5.7,0
626,862,871,12 Years a Slave,187733202.0,56671993.0,30.2,131061209.0,69.8,2013,2174,Color,134.0,0.0,2000.0,Biography|Drama|History,439176,4251,English,USA,R,2013,8.1,83000
627,864,873,Mr. Popper's Penguins,187361754.0,68224452.0,36.4,119137302.0,63.6,2011,863,Color,94.0,70.0,1000.0,Comedy|Family|Fantasy,67191,2820,English,USA,PG,2011,6.0,14000
628,865,874,The Grudge,187281115.0,110359362.0,58.9,76921753.0,41.1,2004,3103,Color,98.0,70.0,4000.0,Horror|Mystery|Thriller,115050,7461,English,USA,PG-13,2004,5.9,4000
629,868,877,The Horse Whisperer,186883563.0,75383563.0,40.3,111500000.0,59.7,1998,735,Color,170.0,0.0,19000.0,Drama|Romance|Western,32353,20683,English,USA,PG-13,1998,6.5,0
630,869,878,Walk the Line,186797986.0,119519402.0,64.0,67278584.0,36.0,2005,1735,Color,153.0,446.0,523.0,Biography|Drama|Music|Romance,188637,1383,English,USA,PG-13,2005,7.9,11000
